"","4454356","4465907","963239","4305923","1142026","4480529","4469090","4413214","248902","4394973","4409730","1591562","4472202","101021","137183","165118","300662","4468965","4438545","192142","4453535","4457438","1121144","869796","220679","4481861","836917","4365130","174174","4353790","4458306","89212","4471067","542066","288889","4335321","246717","4304056","4469032","1139117","4434334","43373","851938","2038560","4342104","546384","806092","4449754","948115","4380976","4449236","4388385","1017181","352392","259357","280661","4424415","4154872","235985","173876","4329575","4469924","942852","199089","4328567","4453773","46026","519625","4448447","4468234","4474215","328472","4379449","4393532","4227110","4482376","58864","2174310","4481131","4345058","4452118","4468391","4350466","1000986","1903534","4430581","1100972","4415689","1099710","1061772","263518","4464026","4480861","2864281","3537197","4480244","4429557","4417470","832300","357522","4338745","4426438","4477696","4323733","767863","1136387","4467002","4481427","4477199","342711","4428224","750071","994357","539581","1064852","4384166","1032037","4448331","1058762","790312","1108652","915428","1096610","965381","257909","350938","4369901","509989","4452050","4408740","3611663","1504042","4480598","4424725","527988","2065573","69664","563843","3855938","1105919","4465158","933546","1839897","4454970","4454979","1130846","1754506","3138798","4454507","268346","3846643","4042106","4446058","4428119","4339720","4447394","1837676","4426982","712917","287823","744941","777944","400253","4430952","4454839","4463767","742320","4377104","4386220","4454750","240857","62513","3364423","177679","4060501","4304790","4439606","26639","4422313","4315396","4451302","173965","4482839","4354311","3232988","152450","4365141","2407149","484439","4314545","2530636","2829179","1134094","3943186","4385479","581306","494971","4454586","4339358","4307347","191975","1076668","139268","4331760","4402589","9727","15806","4397098","552235","880506","4483006","124693","4452280","505670","4476548","3757787","109591","156434","4436552","9912","4470260","4476950","4325509","1696853","1126230","370368","256783","1061145","4427546","3228684","4393056","523577","4466843","138179","4320353","256012","132546","360508","4409449","4483046","310215","246528","148354","4419276","3805726","3847840","275378","4435655","239066","191718","185593","4467056","4425394","4339160","4477254","4430826","4393962","4447105","836308","315846","4465746","4316151","517804","4482362","29566","4481455","279048","4347078","359872","1145098","4425214","548475","554600","4413170","1139398","4326874","104135","4392747","4395995","4363066","1395","4332878","4482374","495007","469663","4453060","3746876","613779","290686","4350788","4468125","4381303","4408751","4478815","1126467","181074","714181","4360511","262849","150477","969248","4473664","258882","342971","4423331","2136916","4330673","4439690","755148","4454529","4314416","4346780","2941399","955102","4482889","839282","121873","4441793","4347159","3225199","278683","4481613","823916","4411875","470117","4461490","3121406","341179","4356099","15728","836693","4371886","2036774","4425368","4453609","686900","4450877","780793","2211108","1132942","1144153","4318122","347243","708925","888575","4311620"
"2151.G10112",0,74,28,0,0,25,0,0,0,0,2,0,82,0,21,0,0,0,0,7,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,11,0,0,0,37,0,0,0,0,0,41,0,0,0,0,1,0,0,0,214,0,0,0,0,0,32,0,0,1,15498,0,11,0,15,0,0,0,0,21,0,0,36,0,35,27,0,0,0,33,0,0,0,0,0,0,485,0,0,0,0,0,270,0,0,0,0,0,2,0,0,0,0,197,25,0,0,0,5,0,0,0,0,372,0,0,0,0,0,0,0,0,257,0,0,1,0,120,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,44,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1134,0,0,0,0,0,2670,0,0,0,0,2542,0,0,552,0,0,0,0,0,0,0,0,0,0,0,1312,0,0,0,0,0,0,0,0,7,0,218,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8150,0,0,0,0,325,0,0,0,0,0,0,192,4,0,0,0,0,0,0,0,0,205,0,1,0,0,0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,24,0,0,0,1,0,0,0,53,247,0,0,0,0,0,209,0,0,0,0,0
"2151.G10130",0,332,8,1,0,32,0,0,0,0,17,0,321,0,5,0,0,0,0,3,0,802,0,0,0,2,0,1,0,0,1,0,0,0,0,0,5,0,0,0,9,0,1,0,31,0,0,0,0,0,21,0,0,0,0,0,0,0,0,506,0,0,0,0,0,55,0,0,0,19667,0,13,0,93,0,0,0,0,192,0,0,162,0,34,28,1,0,0,13,0,0,0,0,0,0,257,0,0,0,0,0,768,1,0,0,0,0,17,0,1,0,0,33,9,0,0,0,13,0,0,0,0,91,0,0,0,0,0,0,0,0,411,0,0,1,0,43,0,1,0,0,0,0,0,0,0,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,32,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,425,0,0,1,0,0,753,0,0,0,0,1845,0,0,164,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,22,0,46,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15694,0,0,0,0,71,0,0,0,0,5,0,44,0,0,0,0,0,1,0,0,0,386,0,5,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,10,0,0,2,0,6,0,0,0,0,0,0,61,0,0,0,0,0,0,0,25,805,0,0,0,0,0,28,0,0,0,0,0
"2151.G10164",0,1705,1,0,0,17,0,0,49,0,81,0,636,0,1,0,0,0,0,0,1,3318,0,0,2,0,0,2399,0,0,86,0,0,0,1,0,41,0,0,0,73,0,1,0,0,0,0,1,0,0,43,0,0,0,0,0,0,0,0,592,0,0,0,0,0,3,1,0,0,28556,0,5,0,50,0,0,0,0,10,0,0,16,0,54,1,6,8,0,4,1,0,0,0,0,0,2246,0,0,0,0,2,65,1061,0,0,0,0,13,0,0,0,0,1,7,0,0,0,1877,0,0,0,0,185,0,0,0,0,0,0,0,0,260,0,0,0,0,12,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,1,6,0,0,0,32,0,0,0,0,0,1,50,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1011,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,153,0,0,0,0,1,0,0,0,0,0,411,1,0,136,0,5,0,0,0,0,0,1,0,0,262,75,0,0,0,0,0,2,0,0,0,2,9,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,5,0,0,17,0,0,2,0,55,0,0,0,0,0,0,1,0,805,0,0,0,8,0,0,0,54,0,0,0,0,0,0,115,0,0,0,0,21,1,0,0,0,1,0,0,201,0,0,0,48,0,0,0,0,0,0,0,18,4,0,0,0,0,0,440,0,0,0,0,0
"2151.G10178",0,140,0,710,0,81,0,0,0,0,16,0,57,0,0,0,0,0,0,0,0,2253,0,0,1,0,0,864,24,0,8,0,0,0,0,0,3,0,0,0,35,0,1,0,2,0,0,0,0,0,278,0,0,0,0,0,0,0,0,5260,20,0,0,0,0,114,0,0,0,11656,0,0,0,0,0,0,0,0,8706,0,0,1268,0,1,44,0,0,0,0,1,5,0,0,0,109,2,0,0,0,0,0,11086,1,0,0,0,0,105,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,684,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,7,0,0,0,0,0,0,1,0,0,23,11,0,760,0,0,39,0,0,25,0,0,0,14,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,26,0,0,0,0,174,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,39,0,24,0,0,290,0,32,0,0,343,0,14,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,137,0,36,768,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,474,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,8,0,369,0,0,28,0,0,0,1,0,0,0,1,3,0,0,0,389,1,0,0,0,0,0,0,0,0,0,6
"2151.G10188",0,457,3,0,0,15,0,0,5,1,83,0,292,0,0,0,0,0,0,0,1,1284,0,0,3,0,0,3332,0,0,0,0,0,0,0,0,29,0,0,0,112,0,0,0,5,1,0,1,0,0,22,0,0,0,0,0,0,0,0,284,0,0,0,0,0,23,8,0,0,33411,0,0,0,29,0,0,0,0,0,0,0,49,0,1,7,1,6,0,1,0,0,0,0,0,0,1188,0,0,0,0,13,136,0,0,0,0,0,6,0,0,0,0,0,25,0,0,0,3044,0,0,0,0,14,0,0,0,0,0,1,0,0,543,0,0,0,0,17,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,513,0,0,0,0,0,1,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,142,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,9,0,20,0,0,0,0,0,0,0,0,0,0,72,2,0,12,0,0,0,0,0,0,0,0,0,0,18,9,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,1,0,0,0,186,0,0,0,13,0,0,0,3,1,0,0,0,0,0,23,0,0,0,0,6,0,0,0,0,0,0,0,118,0,0,0,41,0,0,0,0,0,0,0,2,0,0,0,0,0,0,28,0,0,0,0,0
"2151.G10303",0,116,127,0,0,12,0,0,3,0,16,0,24,0,0,0,0,0,0,72,0,360,0,34,0,0,0,90,7,0,1,0,0,0,0,0,1542,0,0,0,6,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,717,0,325,0,4,0,0,0,0,153,0,0,75,0,446,14,3,0,0,27,0,0,0,0,0,2,829,0,0,0,0,0,167,1,0,0,0,0,2,0,0,0,1,168,0,0,0,0,54,0,0,0,0,1194,0,0,0,0,0,0,0,0,21,0,0,0,0,829,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,42,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,42,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,10,4243,0,0,0,0,0,2827,0,0,0,0,3947,0,0,6440,0,0,0,0,0,0,0,0,0,162,49,2753,1,0,0,0,0,0,0,0,0,1,113,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,113,0,0,0,0,1,1,213,38,0,0,0,0,0,0,0,0,77,0,0,0,1,0,0,0,18,1,0,0,0,0,0,2494,2,0,0,0,214,0,0,0,0,38,0,0,0,0,0,0,505,0,0,0,0,0,0,0,0,30,0,0,0,0,0,8389,0,0,0,0,0
"2151.G10396",0,200,51,0,0,100,0,1,2,0,6,0,51,0,0,0,0,0,0,0,0,190,0,0,0,0,0,92,0,0,18,0,0,0,0,0,43,0,0,0,95,0,0,0,0,0,0,5,0,0,95,0,0,0,0,2,0,0,0,141,0,0,0,0,0,0,0,0,0,411,0,80,0,8,0,0,0,0,91,0,0,169,0,258,0,0,1,0,0,0,0,0,0,0,1,422,0,0,0,0,0,61,55,0,0,9,0,138,0,0,0,0,0,21,0,0,0,42,0,0,0,0,3142,0,0,0,0,0,0,0,0,31,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1837,0,0,2,0,0,0,0,0,0,0,1547,0,0,3100,0,0,0,0,0,0,0,0,0,7,2,17,0,0,0,0,0,0,1,0,0,2,50,0,1,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,208,84,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,165,0,0,0,1,0,0,0,367,0,0,0,0,0,0,16,0,0,0,0,58,3,0,0,0,0,0,0,0,0,0,0,374,0,0,0,1,0,0,0,0,8,0,0,0,0,0,103,9,0,0,0,0
"2151.G10429",0,1378,10,0,0,296,0,1,0,0,9,0,448,0,0,0,2,0,0,0,1,4340,0,33,0,0,0,218,16,0,2,0,0,0,0,0,165,0,0,0,367,0,0,0,0,0,0,1,0,0,1176,0,0,0,0,0,0,0,0,1730,0,0,0,0,0,31,0,0,1,8270,0,177,0,0,0,0,0,0,2622,0,0,525,0,812,50,3,1,0,17,0,0,0,0,2,40,249,0,0,0,0,0,2769,1,0,0,0,0,57,0,0,0,0,64,5,0,0,0,28,7,0,0,0,366,0,0,0,0,0,0,0,0,125,0,0,1,0,344,0,14,0,0,0,0,2,0,0,0,140,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,16,1,0,10,0,0,0,1,1,1022,0,0,0,0,0,10,0,0,5,16,0,0,0,1,0,1,0,0,0,718,0,0,0,0,1,1609,0,0,0,0,2118,0,0,526,0,1,2,0,0,0,0,0,0,3,1,997,0,0,0,0,0,8,0,0,0,3,453,0,0,0,0,437,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,18,0,26,1,0,0,0,0,43,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,1156,0,15,0,0,0,0,106,1,0,0,0,0,0,0,133,0,0,0,0,4,0,0,0,0,12,0,0,24,0,0,0,233,0,0,0,1,0,0,0,6,55,0,1,0,0,0,1,0,0,0,0,0
"2151.G10451",0,358,1,20,0,164,0,0,1,0,2,0,49,0,0,23,0,0,0,0,0,491,0,0,0,0,0,223,0,0,19,0,0,0,0,0,5225,0,0,0,32,0,9,0,0,0,0,1,0,0,167,0,0,0,0,0,0,0,0,362,5,1,0,0,0,104,0,0,0,2967,0,247,0,0,0,0,0,0,259,0,0,319,0,2309,21,67,0,0,25,0,1,0,0,9,1,855,0,0,0,0,0,2243,0,0,0,0,0,41,0,0,0,1,481,53,0,0,0,296,14,0,0,0,815,0,0,0,0,0,0,0,0,204,0,0,1,0,73,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,8,0,13,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,2,0,1267,0,0,0,0,0,4761,0,0,4,0,9044,0,0,452,0,0,11,0,1,0,0,0,0,60,6,3170,0,0,0,0,0,35,79,0,101,1,1319,0,0,73,0,49,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,3,0,63,0,201,7,0,0,1,0,295,0,0,0,0,0,0,847,0,0,0,0,0,0,0,0,0,280,0,0,0,1,0,0,42,51,0,0,0,0,0,0,231,0,0,0,0,65,0,0,2,0,63,0,0,57,0,0,0,9,0,0,0,1,0,0,0,0,85,0,0,0,0,0,2,0,5,0,0,0
