"Temperature","ADH_10_actual","moisture","pH_LRR","EC_LRR","BG_LRR","NAG_LRR","PHOS_LRR","LAP_LRR","Gammaproteobacteria","Clostridia","Alphaproteobacteria","Verrucomicrobiae","Subgroup_6","Actinobacteria","Deltaproteobacteria","Bacilli","Bacteroidia","KD4-96","MB-A2-108","Thermoleophilia","Negativicutes","Blastocatellia_(Subgroup_4)","NC10","Entotheonellia","Nitrospira","Chloroflexia","Acidimicrobiia","Subgroup_5","Ktedonobacteria","Holophagae","Fusobacteriia","Actinobacteria_unclassified","Gitt-GS-136","Dehalococcoidia","Phycisphaerae","Bacteria_unclassified","TK10","Planctomycetacia","Acidobacteriia","Gemmatimonadetes","Latescibacteria_cl","OLB14","Campylobacteria","Erysipelotrichia","Babeliae","Subgroup_22","Anaerolineae","Subgroup_11","Subgroup_17","JG30-KF-CM66","Planctomycetes_unclassified","OM190","S0134_terrestrial_group","Subgroup_18","Latescibacteria","Pla4_lineage","Thermoanaerobaculia","BD2-11_terrestrial_group","Oxyphotobacteria","AD3","Chthonomonadetes","Pla3_lineage","Lineage_IIa","0319-7L14","BRC1_cl","Chloroflexi_unclassified","Ignavibacteria","uncultured","Rubrobacteria","Subgroup_25","Patescibacteria_unclassified","Fimbriimonadia","Chlamydiae","Acidobacteria_unclassified","AT-s3-28","WPS-2_cl","Proteobacteria_unclassified","WS2_cl","FBP_cl","Lineage_IIb","Elusimicrobia","Fibrobacteria","Subgroup_15","vadinHA49","Hydrogenedentia","Firmicutes_unclassified","Armatimonadia","Saccharimonadia","Melainabacteria","BD7-11","Bacteroidetes_unclassified","Cyanobacteria_unclassified","Armatimonadetes_unclassified","Leptospirae","Coriobacteriia","Parcubacteria","Sericytochromatia","Mollicutes","Deinococci","Omnitrophicaeota_cl","Longimicrobia","FCPU426_cl","Microgenomatia","Subgroup_9","Omnitrophia","BRH-c20a","Subgroup_20","P2-11E","Gracilibacteria","Gemmatimonadetes_unclassified","Limnochordia","WS4_cl","Kiritimatiellae","ABY1","uncultured.1","Spirochaetia","Berkelbacteria","Elusimicrobia_unclassified","Lineage_IIc","c__Saccharomycetes","c__Sordariomycetes","c__Tremellomycetes","c__Leotiomycetes","c__Eurotiomycetes","c__Mortierellomycetes","k__Fungi_unclassified","c__Atractiellomycetes","c__Agaricomycetes","c__Pezizomycetes","c__Microbotryomycetes","p__Rozellomycota_unclassified","c__Rozellomycotina_cls_Incertae_sedis","c__Rhizophydiomycetes","c__unclassified_Rozellomycota","c__Dothideomycetes","p__Basidiomycota_unclassified","c__Mucoromycetes","p__Mortierellomycota_unclassified","p__Chytridiomycota_unclassified","c__unclassified_Mortierellomycota","c__Laboulbeniomycetes","c__unclassified_Glomeromycota","c__Glomeromycetes","c__Sanchytriomycetes","c__unclassified_Fungi","c__Endogonomycetes","c__Archaeorhizomycetes","c__Orbiliomycetes","p__Ascomycota_unclassified","c__Moniliellomycetes","p__Glomeromycota_unclassified","c__unclassified_Chytridiomycota","c__Malasseziomycetes","c__Lobulomycetes","c__Exobasidiomycetes","c__Zoopagomycetes","p__Mucoromycota_unclassified","c__Cystobasidiomycetes","c__Kickxellomycetes","c__Chytridiomycetes","c__Paraglomeromycetes","c__Taphrinomycetes","c__Spizellomycetes","c__Olpidiomycetes","c__Aphelidiomycetes","c__unclassified_Blastocladiomycota","c__Geminibasidiomycetes","c__Rhizophlyctidomycetes","c__Agaricostilbomycetes","c__GS19","c__GS35","c__Pezizomycotina_cls_Incertae_sedis","c__Polychytriomycetes","c__GS17","c__Lecanoromycetes","c__GS14","p__Blastocladiomycota_unclassified","c__unclassified_Mucoromycota","c__Classiculomycetes","c__Geoglossomycetes","c__Tritirachiomycetes","c__Umbelopsidomycetes","c__Archaeosporomycetes","c__Hyaloraphidiomycetes","c__Ustilaginomycetes"
13.916,0,0.37415748481475,0.0548834569850921,-1.21157740371116,0.357490136304582,-0.216286886196083,-0.239730626708383,0.419917404230569,663.270210516197,24.4434984413837,1233.71005616512,957.553452987462,1164.77389763942,724.241633594705,499.443841748946,66.7389901264745,303.209239093119,187.85789813378,174.94953378833,1299.48778511693,1.09858419961275,469.919391384353,123.316076406531,99.009900990099,74.4290795237637,92.6930418423257,209.41761305118,44.4926600843163,21.1477458425454,80.8832616964886,0,65.7777289518134,20.8730997926422,79.6473544719243,116.724571208855,111.368973235742,54.1052718309279,345.779376828113,103.40423778855,128.122382279837,34.7427253127532,5.21827494816056,0,0,3.43307562378984,8.23938149709562,39.549031186059,24.0315293665289,40.2356463108169,12.0844261957402,6.59150519767649,17.0280550939976,12.6337182955466,7.55276637233765,1.37323024951594,3.98236772359621,27.0526359154639,2.60913747408028,1.37323024951594,1.23590722456434,9.33796569670837,2.88378352398347,9.61261174661155,27.4646049903187,2.74646049903187,8.92599662185359,8.10205847214402,12.3590722456434,22.1090070172066,12.7710413204982,1.51055327446753,4.2570137734994,3.84504469864462,0.137323024951594,2.60913747408028,1.78519932437072,9.47528872165996,1.78519932437072,1.64787629941912,3.15842957388665,2.0598453742739,3.15842957388665,0.549292099806375,4.53165982340259,0.686615124757968,0.137323024951594,0.823938149709562,3.57039864874144,4.53165982340259,0.823938149709562,0,0,0.274646049903187,0,0.549292099806375,18.6759313934167,2.33449142417709,0,0,1.37323024951594,3.57039864874144,0.686615124757968,0.137323024951594,0,1.51055327446753,0,2.33449142417709,3.02110654893506,4.66898284835418,0,0,0,0.137323024951594,0.274646049903187,0.411969074854781,0,0.274646049903187,0,0.823938149709562,118.019453295321,4056.26362569177,428.26597350327,860.724467549891,1241.19570685896,409.399631058192,777.293308737213,28.299513667617,384.454133825256,104.813013583767,38.7808150259936,12.577561630052,115.923193023646,106.699647828274,15.5123260103974,694.28140197887,90.9776957907094,67.2899547207781,0,62.2589300687573,0,14.6738219017273,5.86952876069093,18.4470903907429,0.209626027167533,127.662250545028,18.6567164179104,0,45.4888478953547,94.5413382525574,0,7.12728492369613,0.209626027167533,0,2.5155123260104,0,0,0.838504108670133,8.17541505953379,7.96578903236626,1.67700821734026,3.56364246184806,0,11.1101794398793,0,1.8866342445078,4.61177259768573,0,0,0.838504108670133,3.7732684890156,0,0,0,0,1.46738219017273,0,0,0,3.56364246184806,0,0,0,0,0,0
0.108,1484.147,0.380627484041912,0.0734793707710534,2.07189355568181,0.252872514148921,-1.61380648571455,-0.179449693848047,0.461975420917413,1807.35449654348,87.8308986955655,915.55664556477,757.215775839605,1020.09534174344,532.196998727755,481.30719354987,130.903294041907,674.289918606968,155.735066447984,138.107573690584,959.855301276844,1.07297782001564,379.680865739818,117.874277656003,67.904167752418,57.3276720979782,71.2763837581815,142.859332607796,35.2549855147994,21.3062738545962,82.6192921412039,0,41.5395698891767,21.3062738545962,70.2034059381658,107.144499455847,109.443737641595,38.9337666119959,298.13455141863,74.6485997639449,126.917947853278,64.9917993838042,6.13130182866077,0,6.59114946581033,2.14595564003127,21.7661214917457,55.3349990036635,22.3792516746118,43.5322429834915,16.4012323916676,6.43786692009381,20.3865785802971,9.04367019727464,5.67145419151121,3.37221600576342,3.67878109719646,25.4449025889422,6.59114946581033,0.459847637149558,2.91236836861387,4.44519382577906,3.37221600576342,6.59114946581033,12.4158862030381,1.37954291144867,4.59847637149558,5.51817164579469,12.8757338401876,12.8757338401876,10.8830607458729,0.919695274299116,5.82473673722773,5.21160655436165,0.459847637149558,2.60580327718083,1.68610800288171,5.05832400864514,1.22626036573215,0.459847637149558,5.05832400864514,2.75908582289735,1.37954291144867,1.22626036573215,4.44519382577906,0.459847637149558,0,0.919695274299116,3.83206364291298,2.75908582289735,0.306565091433039,1.07297782001564,0.613130182866077,0.459847637149558,0.153282545716519,0,9.96336547157375,3.37221600576342,0,0,0.766412728582596,2.14595564003127,0.306565091433039,0,0,0.766412728582596,0,1.22626036573215,0.919695274299116,4.44519382577906,0,0,0,0,0.459847637149558,0.153282545716519,0,0.613130182866077,0.459847637149558,0.153282545716519,384.73359224386,4841.16118577296,682.434131485569,180.212902685033,760.246989466626,344.639713894555,587.019083009695,345.198513592803,554.608700511302,131.038529239194,30.0354837808388,10.337794417591,96.6723477969322,60.2106674862396,6.14679668072979,414.908775949261,39.6747785756196,47.3582744265318,0,47.91707412478,7.68349585091224,60.3503674108016,1.39699924562041,22.6313877790506,0.977899471934285,144.030622223464,25.1459864211673,0,19.9770892123718,36.6013802352547,0,0,65.6589645441591,0,0.698499622810204,0,0,0.558799698248163,0.977899471934285,2.79399849124081,1.25729932105837,3.91159788773714,0,12.8523930597077,0,4.61009751054735,15.0875918527004,0.977899471934285,0,1.81609901930653,4.4703975859853,0.698499622810204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.834,1989.56009,0.370150484951505,0.354934299460948,2.99364834744225,1.03203006337021,1.05070770445481,0.1014779678939,1.28592394088959,2827.52953261428,169.902413970211,745.557267591166,412.942989214176,496.969696969697,487.724704673857,253.929121725732,211.402157164869,2414.17565485362,97.3805855161787,79.301489470981,580.585516178736,1.02722136620442,190.035952747817,48.0739599383667,41.0888546481767,35.1309707241911,48.8957370313302,107.652799178223,12.7375449409348,6.36877247046738,34.7200821777093,0,30.4057524396507,12.7375449409348,43.9650744735491,51.9774011299435,56.2917308680021,21.7770929635336,177.914740626605,28.5567539804828,60.1951720595788,18.4899845916795,3.08166409861325,2.87621982537237,6.1633281972265,0.205444273240883,4.9306625577812,31.0220852593734,6.36877247046738,21.5716486902928,7.60143810991269,1.2326656394453,5.54699537750385,3.90344119157679,1.64355418592707,1.02722136620442,2.4653312788906,13.9702105803801,1.43810991268618,0.410888546481767,0.821777092963534,4.72521828454032,1.02722136620442,2.05444273240883,6.57421674370827,0.821777092963534,2.87621982537237,1.2326656394453,6.57421674370827,7.60143810991269,8.6286594761171,0,1.64355418592707,3.08166409861325,0,0.61633281972265,1.64355418592707,2.05444273240883,0,0,1.43810991268618,0.410888546481767,0.410888546481767,0.61633281972265,0.61633281972265,0.61633281972265,0.61633281972265,0.61633281972265,2.87621982537237,2.05444273240883,0,0.821777092963534,0,0.410888546481767,0,0.821777092963534,4.31432973805855,2.05444273240883,0,0,0,1.2326656394453,0,0.205444273240883,0,0.61633281972265,0,0.61633281972265,0.410888546481767,3.90344119157679,0,0,0,0.410888546481767,0.205444273240883,0,0,0,0.61633281972265,0,338.567807135444,4159.10985589601,467.359681508073,331.762424077445,921.448866053048,258.264287051057,665.39632849584,312.026813209248,252.309576875308,1328.07050376848,21.4369566326965,99.1884580703336,117.562992326931,34.1970498664444,9.35740170474846,265.069670109056,41.0024329244432,33.0061078312945,4.93390271704919,48.658488864692,6.29497932864896,20.4161491739966,0.510403729349916,1.1909420351498,1.70134576449972,71.9669258383381,11.5691511985981,0,61.9289858277898,74.5189444850877,0,0,10.8886128927982,0,0,0.170134576449972,0,2.55201864674958,1.87148034094969,1.36107661159977,1.1909420351498,0,0,2.55201864674958,0,4.93390271704919,0.510403729349916,3.91309525834936,0,0,3.23255695254947,0,0,0,0,0.510403729349916,1.02080745869983,0,0,0,0,0,0,0,0,4.76376814059921
25.066,2973.68,0.37445758807766,0.185845345992697,3.37847530827855,0.0734459723096887,0.250357843619025,-0.325969415945812,0.952903196063404,2039.12657774734,212.752711935629,842.606570899413,419.280033617107,562.619644218947,796.694317775045,309.401895631332,849.765769691688,1861.70295550402,111.590120305667,84.9765769691687,644.950430330101,2.33452134530683,146.607940485269,65.0553281558838,42.4882884845844,29.5706037072199,53.2270866729958,102.407669680793,17.4310927116244,12.2951457519493,28.4811604127434,0,43.8890012917685,12.7620500210107,34.2396463978336,47.935504956967,58.5186683890246,25.5241000420214,240.455698566604,28.9480646818047,49.1805830077973,13.5402238027796,1.08944329447652,1.71198231989168,4.66904269061367,0.622539025415156,5.6028512287364,27.2360823619131,5.44721647238261,27.8586213873282,6.38102501050535,3.42396463978336,7.78173781768945,5.6028512287364,1.86761707624547,0,1.24507805083031,14.3183975845486,0.933808538122734,0.933808538122734,0.466904269061367,1.55634756353789,0.933808538122734,1.71198231989168,7.31483354862808,1.86761707624547,1.71198231989168,5.91412074144398,10.5831634320577,8.55991159945839,7.62610306133566,0,2.95706037072199,3.73523415249093,0.622539025415156,0.778173781768945,2.49015610166062,3.26832988342957,0.933808538122734,0.622539025415156,1.86761707624547,1.24507805083031,2.02325183259926,0.311269512707578,0.622539025415156,0.466904269061367,0,0.311269512707578,1.24507805083031,0.466904269061367,1.08944329447652,0.466904269061367,0,0,0,0.155634756353789,3.89086890884472,4.66904269061367,0,0.466904269061367,0,1.71198231989168,0,0,0.155634756353789,0.311269512707578,0,0.311269512707578,1.08944329447652,5.91412074144398,0.155634756353789,0,0.155634756353789,0,0,0,0,0,0,0,174.062569336588,2498.77967605946,1779.89793654316,245.285112047925,1584.75704459729,378.52229864655,593.854004881296,37.2753494564012,262.59152429554,1296.20590193033,66.0084313290437,71.9991124916796,102.507211005103,38.8284890170845,2.77346350122032,357.665853117373,40.7144441979143,79.6538717550477,2.10783226092745,120.257377412913,11.7594852451742,0.998446860439317,0.221877080097626,6.21255824273353,0,64.1224761482139,19.8579986687375,0,16.0860883070779,99.622808963834,0,0,4.10472598180608,0,0.332815620146439,0.776569780341691,0,1.99689372087863,1.44220102063457,11.4266696250277,0.443754160195252,0.554692700244065,0,7.32194364322166,0,1.99689372087863,0,1.10938540048813,0.665631240292878,0,6.76725094297759,0,3.32815620146439,0,0,1.66407810073219,0,0,0,0,0,0,0,0,0,0.110938540048813
11.947,4027.69203,0.458141866658007,0.292835701301415,3.24226688041258,0.52955845563014,0.55085930292658,-0.197992835275358,1.18757768517201,2392.99682005921,188.359711003083,1011.00186410322,475.772749978679,496.850518415634,449.455998635428,289.118754340436,268.040985903481,2509.96015936255,96.9821021723504,80.1686221474957,536.812992677608,2.43673623548619,196.888287827284,60.0655482047346,51.0496241334357,33.5051232379351,34.6016545439039,83.458216065402,16.5698064013061,6.82286145936133,36.9165539676158,0,36.0636962851956,8.65041363597597,25.0983832255078,45.9324780389147,59.3345273340887,20.2249107545354,175.323172143231,27.2914458374453,53.6081971806962,16.6916432130804,0.487347247097238,2.19306261193757,6.70102464758702,1.70571536484033,4.75163565919807,26.1949145314765,10.234292189042,24.8547096019591,6.70102464758702,2.80224667080912,6.33551421226409,6.21367740048978,0.852857682420166,0,1.21836811774309,7.91939276533012,0.609184058871547,0.487347247097238,0.243673623548619,2.43673623548619,1.82755217661464,1.58387855306602,15.8387855306602,1.46204174129171,3.53326754145498,3.41143072968066,7.55388233000719,7.31020870645857,7.79755595355581,0,3.28959391790636,3.41143072968066,0.487347247097238,1.58387855306602,0,1.70571536484033,0.243673623548619,0.731020870645857,0.609184058871547,0.852857682420166,0.852857682420166,0,0.609184058871547,2.43673623548619,0,0.365510435322928,2.5585730472605,1.70571536484033,0,0.852857682420166,0,0.365510435322928,0,0,5.84816696516685,4.75163565919807,0.609184058871547,0,0.243673623548619,1.82755217661464,0,0,0,0.243673623548619,0,0.852857682420166,0.731020870645857,11.0871498714622,0.487347247097238,0,0.121836811774309,0,0.243673623548619,0,0,0.121836811774309,0,0,118.642076823681,2797.77986608716,1910.01996945848,112.475038176906,535.357688241513,167.978385997886,1922.35404675203,6.75437566075414,437.272406907083,892.458592740514,16.7391048983907,61.3767179607659,66.3690825795842,10.5720662516152,6.46070715376483,157.112651239281,39.9389169505462,235.815811112416,46.9869611182897,19.0884529543052,0,1.46834253494655,3.52402208387173,6.46070715376483,0,96.3232702924938,242.86385528016,0,7.04804416774345,36.4148948666745,0,0,0,0,0,0,0,15.2707623634441,2.34934805591448,0.881005520967931,0,0,1.46834253494655,5.5797016327969,0,1.46834253494655,1.46834253494655,1.76201104193586,0,0,13.215082814519,0,0,0,0,0.293668506989311,0,0,0,0,0,0,0,0,0.587337013978621,0
25.158,0,0.328526975207029,0.0574870909176816,-0.189662918888063,-0.671619402979216,0.693682949153159,1.33203973744465,-0.410772644753672,1112.45962807679,104.415334309615,1251.78037673775,510.240927601356,1798.13035366808,879.556259904913,484.362775582258,19.8599771309354,669.52195630805,198.599771309354,25.1760316154787,813.857850709142,3.91181367730546,104.816545968826,4.7142369957271,39.2184396878573,34.3035968625248,112.439567493831,314.14872916207,47.142369957271,8.22483901382174,23.5711849786355,0,10.5318060542839,11.6351381171137,23.6714878934382,92.2786816184878,83.6526309454553,99.7010973138879,310.236915484764,121.366526911272,115.950169511926,29.0878452927842,61.0844751148468,0,0.100302914802704,6.41938654737307,18.2551304940922,133.302573772794,5.81756905855684,34.8051114365383,38.4160163694357,10.1305943950731,67.6041645770226,9.5287769062569,3.10939035888383,4.61393408092439,4.41332825131898,30.0908744408112,8.42544484342715,5.21575156974062,0,0,0.501514574013521,3.20969327368653,0.501514574013521,9.22786816184878,17.5530100904732,12.537864350338,4.01211659210817,0.401211659210817,0.902726233224338,0,0.802423318421633,12.537864350338,1.70514955164597,0.702120403618929,0.100302914802704,8.12453609901904,0.501514574013521,0.401211659210817,2.20666412565949,5.61696322895143,1.50454372204056,0,1.20363497763245,1.70514955164597,0.601817488816225,0.401211659210817,1.00302914802704,0.702120403618929,1.00302914802704,1.20363497763245,0.200605829605408,0.802423318421633,0,0.702120403618929,0,1.70514955164597,0.401211659210817,0.300908744408112,0.200605829605408,1.70514955164597,0.100302914802704,0.401211659210817,0,0.200605829605408,0,0,0.300908744408112,0.100302914802704,0,0.200605829605408,0.100302914802704,0,0.100302914802704,0.100302914802704,0,0,0,0,975.921961554589,3197.45757100925,633.841672000177,553.949372117146,1301.22928207279,100.196420295292,864.911390170157,112.555450111452,621.70333914502,187.371719891417,15.890181192205,2.42766657103132,30.8975745403986,26.7043322813445,329.279865816248,490.167950387323,10.8141510891395,105.713844320364,0,55.6156341727174,0,126.680055615634,10.3727571671338,14.1246055041822,0.662090883008541,110.569177462426,0,0,5.07603010306548,49.2154223036349,0,14.7866963871907,0,0,0,16.9936659972192,1.76557568802278,1.32418176601708,13.6832115821765,0.662090883008541,0.882787844011388,0,0.662090883008541,0.882787844011388,0,1.10348480501423,7.28299971309395,0,0,1.10348480501423,0,0,0,0,1.10348480501423,0.882787844011388,0,0,3.31045441504271,0,0,0,0,0,0,0
18.46,1026.394,0.496298291519163,0.141650517063027,1.46334752994506,-0.269126231838334,-0.369903698769903,-1.15920354746662,0.953063875937128,1996.37860841685,146.873954813337,1025.9840612638,394.431822113555,1548.02957085356,698.559516532691,500.132630583459,115.561604022743,725.719953406299,194.563299387593,25.8341310390165,584.727876642024,7.03518747044645,112.851326882489,36.7905705421708,37.3095597817939,59.9144244409333,76.1184218113878,251.825112159341,52.8215714994176,8.76515160252344,23.9311704937318,0,6.11253993333871,8.30382783396958,28.3137462949935,77.906051414534,80.9046559101341,72.3701661918876,244.732259217825,108.29575466802,115.157945725259,45.6133876157634,38.2898727899708,0,1.67229866100776,5.30522333836945,25.4304727415318,151.833185325291,8.82281707359267,48.7849885245713,37.1365633685862,10.8411085610158,79.0016953648494,9.16880990000807,3.57525920629246,11.9944179824005,7.90016953648494,28.4867427082012,7.32351482579261,2.76794261132319,0,1.67229866100776,2.13362242956163,2.82560808239242,0.864982066038497,7.15051841258491,18.5682816842931,14.1857058830314,3.57525920629246,0.1729964132077,1.55696771886929,0.1729964132077,1.44163677673083,14.5316987094468,1.78762960314623,0.403658297484632,0,5.65121616478485,0.980313008176964,0.0576654710692332,1.67229866100776,5.59355069371562,0.864982066038497,0.980313008176964,0.922647537107731,0.980313008176964,1.44163677673083,0.345992826415399,0.864982066038497,0.749651123900031,0.288327355346166,0.864982066038497,0,1.67229866100776,0,3.51759373522322,0.403658297484632,2.13362242956163,0.980313008176964,0,0,0.576654710692332,0.403658297484632,0.691985652830798,0.0576654710692332,0.0576654710692332,0.403658297484632,0.0576654710692332,0.403658297484632,0.230661884276933,0.576654710692332,1.0379784792462,0.922647537107731,0,0.115330942138466,0.288327355346166,0.0576654710692332,0,0,0.0576654710692332,1094.75037153071,3038.59902799534,724.98694621842,806.522874241876,1282.72482628429,238.502630839057,656.946620074708,46.0296421255573,653.492388641202,203.237337831867,15.2628830782825,7.31011768486163,67.7993332530024,20.4040647467566,342.852552516367,276.659838534763,10.6840181547978,109.250110455075,0.883640599268988,50.1265212676226,0,182.351287303691,15.2628830782825,20.2434028196168,5.46250552275374,41.2901152749327,0,0.321323854279632,4.25754106920512,30.5257661565651,0,18.8777764389284,0.160661927139816,0,0.80330963569908,6.90846286701209,1.84761216210788,1.44595734425834,12.4512993533357,0.080330963569908,0,0.883640599268988,1.92794312567779,0,0,0.722978672129172,2.16893601638752,0.321323854279632,0,2.65092179780696,0.080330963569908,0,0,0,0,0,0,0.321323854279632,0.722978672129172,0,0,0,0,0,0.40165481784954,0
7.894,1423.473,0.47411917714311,0.089785303872355,1.91492135869734,1.17741975036118,-1.39256176745972,0.388724143123969,0.734494899405392,2338.41494488854,106.582798235268,943.010236025568,350.835044191092,1187.18967952358,741.129020515733,428.588069133214,113.353426811689,1315.03079543965,228.599717526464,29.2665880400122,525.342535564001,4.58655484209147,116.629537413183,22.3503545479695,28.0289462572256,38.7309075554391,56.2762998878842,213.311201386159,36.1100190742439,10.1923440935366,24.9712430291647,0.145604915621951,7.35304823890854,16.8901702121464,16.7445652965244,75.2049389187379,79.3546790139635,47.3944000349452,195.693006595903,61.4452743924635,104.398724500939,56.1306949722623,29.4121929556342,2.54808602338415,6.26101137174391,5.89699908268903,27.009711847872,89.765430480933,3.78572780617074,43.5358697709635,37.7844756038964,11.4299858763232,79.2090740983416,6.62502366079879,2.25687619214025,11.4299858763232,4.8049622155244,22.0591447167256,8.00827035920733,1.23764178278659,0,0.582419662487806,1.74725898746342,3.71292534835976,0.728024578109757,4.73215975771342,11.6483932497561,9.24591214199391,2.03846881870732,0.145604915621951,1.67445652965244,0,0.946431951542684,12.2308129122439,2.62088848119512,0.218407373432927,0,4.36814746865854,1.38324669840854,0.291209831243903,2.98490077025,3.85853026398171,1.16483932497561,0.436814746865854,1.09203686716463,0.218407373432927,0.364012289054878,0.728024578109757,1.31044424059756,0.800827035920733,1.38324669840854,0.291209831243903,0.364012289054878,1.96566636089634,0,1.89286390308537,1.16483932497561,2.32967864995122,0.291209831243903,0,0.218407373432927,0.873629493731708,0.145604915621951,0.800827035920733,0,0.0728024578109757,0.218407373432927,0.291209831243903,0.145604915621951,0.436814746865854,0.291209831243903,0.291209831243903,0.291209831243903,0.873629493731708,0.291209831243903,0.218407373432927,0.0728024578109757,0,0.0728024578109757,0.0728024578109757,1018.66251944012,2495.66118962292,638.312259111502,979.782270606532,1439.69617057723,640.002704712962,797.890323889377,19.6091689769423,358.937949376789,242.635291996304,9.69188811504046,12.0585119570852,52.5165100187076,38.9929452070232,205.558185137602,406.495818964546,3.26819482949039,37.7532850992855,94.6649536817905,162.170081366782,12.7346901976694,62.5464872540402,6.98717515270358,29.3010570919828,7.4379606464264,106.385376518584,0.338089120292109,0,3.04280208262898,59.1655960511191,0,15.6647959068677,0.676178240584218,0,0.450785493722812,10.9315482227782,1.80314197489125,0.788874614014921,19.1583834832195,1.80314197489125,0,0,1.35235648116844,0,0,0.112696373430703,0,0,0.338089120292109,0.338089120292109,0,0,0,0,0,0.450785493722812,0,0,0.225392746861406,0,0,0,1.01426736087633,0,0,0
15.126,214.938,0.290354007413321,0.117441096860096,0.526000010584023,1.25388984784848,1.10350883491679,-1.43462163154009,0.281890824505193,1078.27854964419,95.221958658082,1313.45306675703,481.192815994578,1662.82616062352,729.24432395798,549.644188410708,38.9698407319553,504.913588614029,277.194171467299,44.3917316164012,704.845814977974,5.76075906472382,129.447644866147,33.8868180277872,65.0626906133514,69.8068451372416,88.4445950525246,301.253812267028,61.3351406302948,16.9434090138936,26.7705862419519,0,9.48830904778041,16.2656726533379,37.2754998305659,85.3947814300237,112.504235852254,85.0559132497459,316.84174855981,110.471026770586,148.08539478143,58.9630633683497,41.0030498136225,0,0,3.72754998305659,35.2422907488987,189.088444595052,10.8437817688919,50.4913588614029,69.4679769569637,15.5879362927821,95.5608268383599,11.1826499491698,3.72754998305659,21.3486953575059,8.4717045069468,34.2256862080651,4.74415452389021,14.2324635716706,0,1.35547272111149,5.76075906472382,7.45509996611318,2.3720772619451,3.72754998305659,16.2656726533379,9.48830904778041,8.13283632666893,0,4.06641816333446,0,3.72754998305659,16.9434090138936,2.71094544222297,1.35547272111149,0,8.81057268722467,0,0,2.03320908166723,4.40528634361234,1.01660454083362,0.338868180277872,0,0,2.71094544222297,0.338868180277872,2.3720772619451,2.03320908166723,1.69434090138936,0.338868180277872,0,3.38868180277872,0,4.74415452389021,0,1.35547272111149,0.677736360555744,0,0,0.677736360555744,1.01660454083362,2.03320908166723,0,0.338868180277872,0,0.677736360555744,0,0.677736360555744,0.338868180277872,1.69434090138936,1.01660454083362,0,0,0.338868180277872,0.677736360555744,0,0.677736360555744,0,687.617705832459,2698.28490921376,580.226857775414,1132.99501142915,1211.48952687647,99.7714170704007,1067.87044092066,51.1795741744419,1029.91704883624,207.737316522664,16.9640161589442,11.0697393579551,60.8116850443508,23.4333443551517,259.491942092325,291.119768829339,5.89427680098909,77.4881755056858,0.431288546413836,35.5094236547391,0,148.650785663969,17.2515418565534,41.8349890021421,3.01901982489685,60.0928708003278,0.143762848804612,0.718814244023059,5.03169970816142,65.4120962060984,0,26.5961270288532,20.8456130766687,0,1.43762848804612,3.88159691772452,4.16912261533375,5.75051395218448,32.4904038298423,3.01901982489685,0,4.45664831294297,0,0,0,0,1.1501027904369,0.575051395218448,0,0.143762848804612,0.575051395218448,0,0,0,0,0,0,0,0.287525697609224,0,0,0,0,0,0,0
