"Temperature","ADH_10_actual","moisture","pH_LRR","EC_LRR","BG_LRR","NAG_LRR","PHOS_LRR","LAP_LRR","Proteobacteria","Verrucomicrobia","Acidobacteria","Actinobacteria","Firmicutes","Bacteroidetes","Chloroflexi","Rokubacteria","Entotheonellaeota","Nitrospirae","Fusobacteria","Planctomycetes","Bacteria_unclassified","Gemmatimonadetes","Latescibacteria","Epsilonbacteraeota","Dependentiae","Cyanobacteria","Elusimicrobia","BRC1","Armatimonadetes","Patescibacteria","Chlamydiae","WPS-2","WS2","FBP","Fibrobacteres","Hydrogenedentes","Spirochaetes","Tenericutes","Deinococcus-Thermus","Omnitrophicaeota","FCPU426","WS4","Kiritimatiellaeota","p__Ascomycota","p__Basidiomycota","p__Mortierellomycota","k__Fungi_unclassified","p__Rozellomycota","p__Chytridiomycota","p__Mucoromycota","p__Glomeromycota","p__Monoblepharomycota","p__unclassified_Fungi","p__Zoopagomycota","p__Kickxellomycota","p__Olpidiomycota","p__Aphelidiomycota","p__Blastocladiomycota","p__Basidiobolomycota"
13.916,0,0.37415748481475,0.0548834569850921,-1.21157740371116,0.357490136304582,-0.216286886196083,-0.239730626708383,0.419917404230569,2405.89939715192,957.553452987462,1988.98669339888,2524.40916768515,92.4183957924225,311.448620590214,526.359154639458,123.316076406531,99.009900990099,74.4290795237637,0,498.345257549333,111.368973235742,146.935636698205,36.1159555622691,0,3.43307562378984,8.23938149709562,15.6548248444817,2.74646049903187,27.0526359154639,29.5244503645926,3.84504469864462,1.78519932437072,1.78519932437072,1.64787629941912,3.15842957388665,0.686615124757968,0,0,0,2.88378352398347,0.686615124757968,0,0.137323024951594,7231.46905919839,983.355693442898,409.399631058192,777.293308737213,144.013080664095,184.470903907429,86.7851752473587,35.007546536978,0.209626027167533,127.662250545028,0,11.7390575213819,0,1.8866342445078,4.61177259768573,0
0.108,1484.147,0.380627484041912,0.0734793707710534,2.07189355568181,0.252872514148921,-1.61380648571455,-0.179449693848047,0.461975420917413,3209.27665966676,757.215775839605,1727.64757277089,1840.0036787811,226.398320023299,680.881068072778,465.059243703919,117.874277656003,67.904167752418,57.3276720979782,0,443.90625239504,109.443737641595,145.158570793544,68.3640153895676,0,2.14595564003127,7.2042796486764,15.0216894802189,1.37954291144867,24.5252073146431,20.3865785802971,5.21160655436165,1.68610800288171,1.22626036573215,0.459847637149558,1.37954291144867,0.459847637149558,0.153282545716519,0,0,1.53282545716519,0.306565091433039,0,0,6829.92931183817,1655.72350590931,352.323209745467,587.019083009695,113.156938895253,188.594898158755,73.0630605459473,27.9399849124081,0.977899471934285,144.030622223464,0,7.26439607722612,0,4.61009751054735,15.3669917018245,0
17.834,1989.56009,0.370150484951505,0.354934299460948,2.99364834744225,1.03203006337021,1.05070770445481,0.1014779678939,1.28592394088959,3829.07036466359,412.942989214176,821.982537236775,1300.66769388803,389.111453518233,2416.23009758603,276.938880328711,48.0739599383667,41.0888546481767,35.1309707241911,0,240.780688238315,56.2917308680021,66.7693888032871,19.5172059578839,2.87621982537237,0.205444273240883,4.51977401129944,4.51977401129944,0.821777092963534,13.9702105803801,11.5048793014895,3.08166409861325,1.64355418592707,0,0,0.410888546481767,0.61633281972265,0,0,0,0.61633281972265,0,0,0.410888546481767,7501.40361025571,1104.85393946612,269.493169096755,665.39632849584,226.108852102013,98.5079197645337,47.1272776766422,1.70134576449972,1.70134576449972,71.9669258383381,0,4.59363356414924,0,4.93390271704919,0.510403729349916,0
25.066,2973.68,0.37445758807766,0.185845345992697,3.37847530827855,0.0734459723096887,0.250357843619025,-0.325969415945812,0.952903196063404,3194.40337416152,419.280033617107,848.987595909919,1688.94837595132,1069.52204566324,1868.08398051453,287.613029741802,65.0553281558838,42.4882884845844,29.5706037072199,0,303.487774889888,58.5186683890246,57.5848598509019,13.5402238027796,1.71198231989168,0.622539025415156,6.06975549779777,4.82467744696746,1.86761707624547,15.4078408790251,11.050067701119,3.73523415249093,2.49015610166062,0.933808538122734,0.622539025415156,2.02325183259926,0.466904269061367,0,0,0.466904269061367,0.311269512707578,0,0.155634756353789,0,6278.45573552252,2189.92678056357,392.389616152651,593.854004881296,177.279786998003,171.95473707566,101.508764144664,6.98912802307522,0,64.1224761482139,0,18.1939205680053,0,1.99689372087863,0,3.10627912136676
11.947,4027.69203,0.458141866658007,0.292835701301415,3.24226688041258,0.52955845563014,0.55085930292658,-0.197992835275358,1.18757768517201,3694.82315386771,475.772749978679,833.851139783374,1209.23035686002,465.538457789636,2514.22444777465,230.271574253445,60.0655482047346,51.0496241334357,33.5051232379351,0,234.048515418448,59.3345273340887,62.989631687318,16.6916432130804,2.19306261193757,1.70571536484033,6.94469827113564,3.04592029435774,1.46204174129171,14.0112333540456,19.8594003192124,3.41143072968066,0,0.243673623548619,0.731020870645857,0.852857682420166,2.43673623548619,0,0.609184058871547,0,0.487347247097238,0,0.121836811774309,0,4660.51920592036,2414.8361329731,214.965347116175,1922.35404675203,134.206507694115,35.2402208387173,493.95042875602,9.98472923763656,0.587337013978621,96.3232702924938,0,14.0960883354869,0,1.46834253494655,1.46834253494655,0
25.158,0,0.328526975207029,0.0574870909176816,-0.189662918888063,-0.671619402979216,0.693682949153159,1.33203973744465,-0.410772644753672,2856.72731649582,510.240927601356,2190.51535637626,2044.97582699753,129.08985135108,683.464061465626,705.229793977813,4.7142369957271,39.2184396878573,34.9054143513411,0,487.37186302634,83.6526309454553,135.609540813256,33.7017793737086,0,6.41938654737307,7.82362735461092,11.0333206282975,9.22786816184878,6.01817488816225,1.70514955164597,12.537864350338,0.100302914802704,0.501514574013521,0.401211659210817,1.50454372204056,1.70514955164597,0,0.401211659210817,0.300908744408112,0.401211659210817,0.100302914802704,0.100302914802704,0,6888.61424378186,1426.5851559224,100.196420295292,864.911390170157,362.605106927678,84.0855421420847,110.348480501423,39.2840590585068,0.662090883008541,110.569177462426,1.98627264902562,0.662090883008541,1.10348480501423,1.10348480501423,7.28299971309395,0
18.46,1026.394,0.496298291519163,0.141650517063027,1.46334752994506,-0.269126231838334,-0.369903698769903,-1.15920354746662,0.953063875937128,3528.14651642889,394.431822113555,1965.98890516337,1571.61474852088,274.026318520996,740.770641355369,634.72384005905,36.7905705421708,37.3095597817939,60.8947374491102,0,423.725881416725,80.9046559101341,132.803579872444,57.6078055981639,0,5.30522333836945,5.65121616478485,10.6104466767389,7.15051841258491,8.70748613145421,2.76794261132319,14.5316987094468,0,0.980313008176964,0.0576654710692332,0.864982066038497,0.980313008176964,0.0576654710692332,0.980313008176964,0,0.0576654710692332,0.403658297484632,0.922647537107731,0,6921.87813792826,1472.86821705426,239.386271438326,656.946620074708,417.962003454231,71.4945575772181,111.419046471462,55.2677029360967,5.86416034060329,41.2901152749327,2.24926697995742,0.160661927139816,0,0.722978672129172,2.49025987066715,0
7.894,1423.473,0.47411917714311,0.089785303872355,1.91492135869734,1.17741975036118,-1.39256176745972,0.388724143123969,0.734494899405392,3714.38139751598,350.835044191092,1530.2348607289,1519.16888714163,231.657420754525,1324.56791741289,544.853594257342,22.3503545479695,28.0289462572256,39.2405247601159,0.145604915621951,370.564510257866,79.3546790139635,120.196857845921,67.5606808485854,2.54808602338415,5.89699908268903,4.73215975771342,11.0659735872683,4.73215975771342,6.26101137174391,4.22254255303659,12.2308129122439,0,1.38324669840854,0.291209831243903,1.16483932497561,0.218407373432927,0.0728024578109757,0.291209831243903,0,0.291209831243903,0.145604915621951,0.291209831243903,0.873629493731708,6709.49128857033,1060.24748123605,747.402348592422,797.890323889377,270.133207113395,202.628079428404,40.1199089413303,51.9530281515541,7.4379606464264,106.385376518584,4.28246219036671,1.80314197489125,0,0.112696373430703,0,0.112696373430703
15.126,214.938,0.290354007413321,0.117441096860096,0.526000010584023,1.25388984784848,1.10350883491679,-1.43462163154009,0.281890824505193,2950.18637749915,481.192815994578,2134.53066757032,1796.340223653,144.357844798373,514.740765842087,837.004405286344,33.8868180277872,65.0626906133514,71.501186038631,0,529.312097594036,112.504235852254,165.028803795324,80.3117587258556,0,3.72754998305659,17.6211453744493,14.9101999322264,3.72754998305659,16.9434090138936,5.42189088444595,16.9434090138936,0,0,0,1.01660454083362,0,0.677736360555744,0.677736360555744,0,0.338868180277872,1.01660454083362,1.01660454083362,0,6449.05763452609,1721.27258873762,100.202705616814,1067.87044092066,331.37336649463,81.2260095746057,83.6699780042841,90.1393062004917,3.01901982489685,60.0928708003278,7.33190528903521,3.5940712201153,0,0,1.1501027904369,0
18.886,493.696,0.405797877021361,0.12389926267382,0.774452007613919,0.00035717455580681,-0.538387447651056,0.550916181299694,1.0225146370991,2774.53371519942,479.592766134011,2230.98175341301,1879.40857984273,128.120793822675,723.487800188234,772.671612034854,20.1390505297886,36.4324532197181,52.4222521328165,0,506.411099754081,87.1342839504923,177.405806928238,61.530365437746,0,5.76847175978869,6.37567931345066,9.00691204598585,7.89369819760558,10.1201258943661,4.14925161669011,18.216226609859,0,0.910811330492951,0.607207553661968,2.32762895570421,0.910811330492951,0.202402517887322,0.303603776830984,0,0.202402517887322,0.202402517887322,1.11321384838027,1.3156163662676,5894.78799659823,2996.8007127526,80.0496766964997,532.944559186814,230.294685403421,80.0496766964997,63.0408077862822,48.4617772918101,20.9236085800294,42.9271453448346,3.91473966981196,0.809946138581784,0,0.404973069290892,4.58969478529678,0
